Country,City,Lat,Lon,Years
Argentina,Buenos Aires,-34.603683,-58.381557,2013
Brazil,Aracaju,-10.947247,-37.073082,2001
Canada,Edmonton,53.544388,-113.490929,1997
Colombia,Bogota,4.710989,-74.07209,1980-1996
Scotland,Aberdeen,57.149715,-2.094278,1997-1999
UK,Cambridge,52.219387,0.124293,1995
USA,Houston,29.807284,-95.367497,2001-Present
Venezuela,Maracaibo,10.676803,-71.620549,1999-2001
